CLUTCH_NUMBER	DATA_EGGS_FOUND	COLOR	MALE	FEMALE	REGION	POPULATION	MALE_STANDARD_LENGTH	MALE_MASS	FEMALE_STANDARD_LENGTH	FEMALE_MASS	MALE_LAT	MALE_LONG	FEMALE_LAT	FEMALE_LONG	TEMPERATURE	TANK	ROOM	CLUTCH_ORDER	DAYS_IN_TREATMENT	DATE_EGGS_LAST_CHECKED	PHOTO	DATE_OF_PHOTO	NUMBER_OF_EGGS_SAMPLED	NUMBER_OF_EGGS_LOST	EGG_COUNT	RESEARCHER	PHOTO_FOR_COUNT	DATE_OF_HATCH	HATCHING_TIME	HATCHLING_PHOTO_FILE	HATCHLINGS_PHOTO	HATCHLINGS_MEASURED	HATCHLINGS_EXP_USED	HATCHLINGS_UNHATCHED	HATCHLINGS_EXTRA	HATCHLINGS	HATCHING_SUCCESS	PROJECT_CODE	notes_hatchlings	notes
86	7/02/2023	white	CPRE391	CPRE390	core	Pretty Patches	84.13	25.00	89.12	36.19	-16.622	146.042	-16.622	146.042	30	204	3	1	81	6/02/2023	Y	7/02/2023	12	10	418	EAS	IMG_8064	16/02/2023	9	IMG_8507	267	30	90	0	4	391	0.98737	1	hatchlings = 30 + 90 + photo + photo (unhatched) +  4	
87	7/02/2023	white	CRUS426	CRUS360	core	Russel Island	88.13	35.28	92.98	38.40	-17.233	146.100	-17.233	146.100	28.5	6	2	1	81	6/02/2023	Y	7/02/2023	11	0	527	EAS	IMG_8072	16/02/2023	9	IMG_8511	278	30	120	65	0	493	0.95543	2	hatchlings = 30 + 120 + photo (hatched) + photo (unhatched) 	
88	8/02/2023	white	CSUD312	CSUD304	core	Sudbury Reef	93.03	39.23	94.94	40.02	-16.996	146.202	-16.996	146.202	30	161	3	1	82	7/02/2023	Y	8/02/2023	10	0	494	EAS	IMG_8094	17/02/2023	9	NA	0	30	90	0	4	124	0.25620	1	hatchlings = 30 + 90 +4 (no photo) 	
89	NA	NA	LCKM159	LCKM155	leading	Cockermouth Island	87.56	30.55	86.58	30.34	-20.772	149.398	-20.772	149.398	28.5	237	3	3	84	17/01/2023	N	NA	NA	NA	NA	NA	NA	10/02/2023	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	hathclings = 30 + 120 + photo + 1	"forgot to take off blue flagging tape, never saw eggs just hatchlings when they came out"
90	10/02/2023	white	CSAT265	CSAT264	core	Satellite Reef	102.28	48.84	104.10	54.34	-16.443	145.684	-16.443	145.684	28.5	37	2	1	84	9/02/2023	Y	10/02/2023	11	1	492	EAS	IMG_8115	20/02/2023	10	IMG_8543	52	30	120	62	0	264	0.55000	2	hatchlings = 30 + 120 + photo (hatched) + photo (unhatched) 	
91	11/02/2023	white	CARL241	CARL239	core	Arlington Reef	97.40	45.17	NA	NA	-16.702	145.986	-16.702	145.986	27	150	3	3	85	9/02/2023	Y	11/02/2023	10	0	469	EAS	IMG_8129	22/02/2023	11	IMG_8578	191	0	0	0	0	191	0.41612	1	hatchlings = photo	
92	11/02/2023	white	CSUD002	CSUD213	core	Sudbury Reef	100.00	48.28	93.42	45.25	-16.996	146.202	-16.996	146.202	28.5	65	2	2	46	10/02/2023	Y	11/02/2023	11	0	458	EAS	IMG_8132	20/02/2023	9	NA	0	30	330	38	38	436	0.97539	5	hatchlings = 30 + 240 + 90 + 38(unhatched) + 38 + no photo	
93	12/02/2023	white	CSUD009	CSUD212	core	Sudbury Reef	103.00	50.94	103.80	49.03	-16.996	146.202	-16.996	146.202	27	172	3	3	86	11/02/2023	Y	12/02/2023	10	0	505	EAS	IMG_8151	24/02/2023	12	IMG_8683	144	30	90	0	0	264	0.53333	1	hatchlings = 30 + 90 + photo 	
94	12/02/2023	white	CPRE512	CPRE208	core	Pretty Patches	103.62	61.46	108.42	62.40	-16.622	146.042	-16.622	146.042	28.5	14	2	1	86	11/02/2023	Y	12/02/2023	10	0	589	EAS	IMG_8155	21/02/2023	9	IMG_8547	384	30	80	0	0	494	0.85320	4	hatchlings = 30 + 80 + photo 	
95	13/02/2023	white	CPRE/CSUD098	CPRE373	core	Pretty Patches	103.84	50.70	103.50	59.23	-16.622	146.042	-16.622	146.042	28.5	50	2	1	87	12/02/2023	Y	13/02/2023	10	0	524	EAS	IMG_8175	21/02/2023	8	IMG_8557	346	30	80	10	0	466	0.90661	4	hatchlings = 30 + 80 + 10 (unhatched) + photo 	
96	13/02/2023	white	CARL338	CARL345	core	Arlington Reef	81.60	24.19	82.28	27.20	-16.702	145.986	-16.702	145.986	28.5	106	2	1	87	12/02/2023	Y	13/02/2023	10	0	439	EAS	IMG_8185	23/02/2023	10	IMG_8630	40	30	210	0	0	280	0.65268	3	hatchlings = 30 + 90 + 120 + photo  	
97	13/02/2023	white	CARL218	CARL222	core	Arlington Reef	93.41	41.41	94.34	38.92	-16.702	145.986	-16.702	145.986	30	109	3	3	87	12/02/2023	Y	13/02/2023	10	0	542	EAS	IMG_8189	23/02/2023	10	IMG_8644	332	0	0	0	0	332	0.62406	0	hatchlings = photo 	"photo rather poor, hard to see all the hatchlings"
98	14/02/2023	white	CVLA106	CVLA091	core	Vlassof Cay	91.88	36.33	98.46	48.79	-16.657	145.990	-16.657	145.990	30	105	3	5	88	13/02/2023	Y	14/02/2023	10	0	476	EAS	IMG_8424	23/02/2023	9	IMG_8632	367	30	0	0	0	397	0.85193	0	hatchlings =  	No notes recorded for hatchlings
99	14/02/2023	white	CARL335	CARL359	core	Arlington Reef	93.52	40.00	92.04	38.73	-16.702	145.986	-16.702	145.986	28.5	238	3	1	88	13/02/2023	Y	14/02/2023	10	0	758	EAS	IMG_8427	23/02/2023	9	IMG_8648	76	30	210	0	19	335	0.44786	3	hatchlings =30 + 90 + 120 + photo +19 	
100	15/02/2023	white	CARL360	CARL249	core	Arlington Reef	87.08	29.75	82.80	27.63	-16.702	145.986	-16.702	145.986	30	166	3	1	55	14/02/2023	Y	15/02/2023	11	2	304	EAS	IMG_8470	24/02/2023	9	NA	0	30	90	8	15	143	0.49141	1	hatchlings = 30 + 90 + 15 + 8 (unhatched) 	
101	15/02/2023	white	LSBI028	LSBI027	leading	St. Bee's Island	90.00	33.61	91.51	NA	-20.927	149.663	-20.927	149.663	28.5	233	3	3	89	14/02/2023	Y	15/02/2023	10	1	294	EAS	IMG_8473	25/02/2023	10	IMG_8717	107	30	120	4	0	261	0.92226	2	hatchlings = 30 +120 +4 (unhatched) + photo 	
102	17/02/2023	white	LSBI034	LCHA120	leading	Chauvel Reef/St. Bee's Island	85.10	28.44	90.92	36.71	-20.863	150.363	-20.927	149.663	28.5	244	3	3	91	16/02/2023	Y	17/02/2023	10	2	493	EAS	IMG_8519	27/02/2023	10	NA	0	39	120	51	0	210	0.43659	2	hatchlings = 30 + 120 + photo (unhathced) 	
103	20/02/2023	white	CARL217	CARL226	core	Arlington Reef	78.40	23.15	72.47	16.28	-16.702	145.986	-16.702	145.986	28.5	144	3	4	94	19/02/2023	Y	20/02/2023	11	0	283	EAS	IMG_8529	2/03/2023	10	IMG_8753	177	0	0	0	0	177	0.65074	0	hatchlings = photo	
104	22/02/2023	white	CPRE447	CPRE452	core	Pretty Patches	101.10	49.82	101.22	49.27	-16.622	146.042	-16.622	146.042	30	103	3	1	96	21/02/2023	Y	22/02/2023	12	3	478	EAS	IMG_8562	3/03/2023	9	IMG_8768	305	30	90	0	0	425	0.91793	1	hatchlings = 30 + 90 + photo 	
105	22/02/2023	white	CPRE375	CPRE377	core	Pretty Patches	102.52	54.28	101.42	55.75	-16.622	146.042	-16.622	146.042	27	268	3	2	96	21/02/2023	Y	22/02/2023	10	0	610	EAS	IMG_8566	5/03/2023	11	IMG_8790	468	30	90	0	0	588	0.98000	1	hatchlings = 30 + 90 + photo 	
106	22/02/2023	white	CSUD013	CSUD017	core	Sudbury Reef	98.82	52.14	103.54	58.30	-16.996	146.202	-16.996	146.202	27	271	3	4	96	21/02/2023	Y	22/02/2023	12	0	647	EAS	IMG_8568	5/03/2023	11	IMG_8795	496	30	0	0	0	526	0.82835	0	hatchlings = 30 + photo 	
107	23/02/2023	white	CPRE521	CPRE524	core	Pretty Patches	93.74	40.78	96.08	44.85	-16.622	146.042	-16.622	146.042	28.5	31	2	1	97	22/02/2023	Y	23/02/2023	10	0	441	EAS	IMG_8609	5/03/2023	10	IMG_8804	73	30	290	0	0	393	0.91183	7	hatchlings = 30 + 90 +120 + 80  photo 	
108	23/02/2023	white	CARL369	CARL349	core	Arlington Reef	89.42	36.74	80.88	24.91	-16.702	145.986	-16.702	145.986	28.5	216	3	1	97	22/02/2023	Y	23/02/2023	16	0	468	EAS	IMG_8615	5/03/2023	10	IMG_8806	44	30	290	0	0	364	0.80531	7	hatchlings = 30 + 90 + 120 +80 + photo 	
109	23/02/2023	white	CARL367	CARL363	core	Arlington Reef	94.12	42.43	78.86	24.29	-16.702	145.986	-16.702	145.986	28.5	132	3	1	97	22/02/2023	Y	23/02/2023	10	0	263	EAS	IMG_8626	5/03/2023	10	NA	NA	NA	NA	NA	NA	NA	NA	1	hatchlings = 30 + 30  + photo 	Looks like clutch may have been partially eaten…?; could not find photo
110	25/02/2023	white	CPRE453	CPRE459	core	Pretty Patches	94.80	45.82	99.72	53.26	-16.622	146.042	-16.622	146.042	28.5	32	2	1	99	24/02/2023	Y	25/02/2023	10	0	562	EAS	IMG_8712	7/03/2023	10	IMG_8828	45	30	450	0	0	525	0.95109	7	hatchlings = 30 + 90 +120 + 240 + photo 	
111	27/02/2023	white	CVLA468	CVLA477	core	Vlassof Cay	100.88	54.19	97.44	49.68	-16.657	145.990	-16.657	145.990	27	121	3	1	101	26/02/2023	Y	27/02/2023	10	0	439	EAS	IMG_8742	10/03/2023	11	IMG_8882	301	30	90	0	0	421	0.98135	1	hatchlings = 30 + 90 + photo 	
