CLUTCH_NUMBER	MALE	FEMALE	REGION	POPULATION	DATE_OF_HATCH	DATE_CTMAX	AGE_DAYS	TRAY_COL	DEV_TEMP	TANK	REP	EXP_TANK	TRAY_ORD	LENGTH	MASS	RAMP_START_TIME	LOE_TIME	LOE_mean_JMD	LOE_TEMP_SENSOR	LOE_TEMP_HOBO	TEMP_DIFF	SURVIVAL_TIME	HOBO_OFFSET	LOE_TEMP_HOBO_ACTUAL	FIL_TEMP_DIFF	LOE_MEAN_EAS	EXPERIMENT	NOTES		
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	7/07/2023	108		31.5	326	2			30.86	1.0806	1:08:13 PM	7:07:00 PM					5:58:47				36.980	Resp			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	11/07/2023	128		28.5	141	2			32.09	1.3202	1:18:00 PM	7:26:00 PM					6:08:00				36.990	Resp			
107	CPRE521	CPRE524	core	Pretty Patches	5/03/2023	11/07/2023	128		31.5	123	2			34.72	1.7571	1:18:00 PM	7:26:00 PM					6:08:00				36.990	Resp			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	12/07/2023	113		31.5	326	2			31.93	1.2178	12:13:52 PM	6:16:00 PM					6:02:08				37.000	Resp			
110	CPRE453	CPRE459	core	Pretty Patches	7/03/2023	13/07/2023	128	white	30	329	1	2	2	27.58	0.8147	11:50:15 AM	5:47:00 PM			37.015		5:56:45	0.000	37.015		37.015	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	12/07/2023	113		31.5	326	2			31.15	1.0920	12:13:52 PM	6:17:00 PM					6:03:08				37.020	Resp			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	blue	28.5	140	2	5	1	30.76	1.1047	11:50:15 AM	5:54:00 PM		37.0	37.069	0.07	6:03:45	0.006	37.063	0.063	37.032	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	13/07/2023	114	blue	28.5	140	2	5	3	31.47	1.2555	11:50:15 AM	5:54:00 PM		37.0	37.069	0.07	6:03:45	0.006	37.063	0.063	37.032	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	12/07/2023	113	red	28.5	140	1	1	1	36.61	2.1381	12:13:52 PM	6:20:00 PM			37.151		6:06:08	0.117	37.034		37.034	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	12/07/2023	113	white	30	333	2	1	1	27.74	0.9322	12:13:52 PM	6:20:00 PM			37.151		6:06:08	0.117	37.034		37.034	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	12/07/2023	113	white	30	333	2	1	3	31.77	1.3173	12:13:52 PM	6:20:00 PM			37.151		6:06:08	0.117	37.034		37.034	CTmax			
120	CPRE550	CPRE533	core	Pretty Patches	21/03/2023	12/07/2023	113	blue	31.5	326	2	1	5	27.55	0.8860	12:13:52 PM	6:21:00 PM			37.151		6:07:08	0.117	37.034		37.034	CTmax			
