Species,BP,ID,Tank,Rep_tank,Treatment,Rate,Time_load,Time_start,Time_end,Acc_time,Acc_time_min,Trial_time,Trial_time_h,CTmax,Date,Age,M1,M2,M3,SL,BW,logBW,BW_centred_all,Mean_BW,CI,Protein,CS,CS_date,LDH,LDH_date,Rate_min
A.poly,AP3,AP3_21_0.5_01,28A,A,28,0.5,6:44:00,7:15:00,21:45:00,0:31:00,31,14:30:00,14.5,35.77,18-Feb-18,21,16.179,16.155,16.171,16.17,21.35,1.329397879,12.69832229,,0.005049726,13.53103321,0.144048,4-May-18,8.762084,4-May-18,0.008333333
A.poly,AP3,AP3_21_0.5_02,28B,B,28,0.5,7:01:00,7:15:00,21:45:00,0:14:00,14,14:30:00,14.5,35.84,18-Feb-18,21,16.296,16.305,16.292,16.3,24.91,1.396373728,16.25832229,,0.005751895,8.964273381,0.267727,2-May-18,12.717233,2-May-18,0.008333333
A.poly,AP3,AP3_21_0.5_06,28B,B,28,0.5,6:59:00,7:15:00,21:45:00,0:16:00,16,14:30:00,14.5,35.72,18-Feb-18,21,14.606,14.617,14.524,14.58,16.33,1.212986185,7.678322286,,0.005268823,9.111528971,0.169774,4-May-18,12.394451,4-May-18,0.008333333
A.poly,AP3,AP3_21_0.5_08,28B,B,28,0.5,7:00:00,7:15:00,21:45:00,0:15:00,15,14:30:00,14.5,35.9,18-Feb-18,21,14.065,14,14.09,14.05,15.64,1.194236749,6.988322286,,0.005639074,8.523679536,0.190196,9-May-18,2.190223,9-May-18,0.008333333
A.poly,AP3,AP3_21_0.5_11,28A,A,28,0.5,6:46:00,7:15:00,22:15:00,0:29:00,29,15:00:00,15,35.94,18-Feb-18,21,14.215,14.185,14.168,14.19,17.75,1.249198357,9.098322286,,0.006212282,7.785588319,0.192339,3-May-18,13.897926,3-May-18,0.008333333
A.poly,AP3,AP3_21_0.5_12,28A,A,28,0.5,6:45:00,7:15:00,22:15:00,0:30:00,30,15:00:00,15,36.02,18-Feb-18,21,14.143,14.143,14.123,14.14,18.1,1.257678575,9.448322286,,0.006402216,6.949418195,0.338705,2-May-18,13.925697,2-May-18,0.008333333
A.poly,AP4,AP4_07_0.5_02,28A,A,28,0.5,7:05:00,8:00:00,23:30:00,0:55:00,55,15:30:00,15.5,36.32,3-Mar-18,7,,,,,3.9,0.591064607,-4.751677714,,,0.374941665,2.755038,17-May-18,82.627727,17-May-18,0.008333333
A.poly,AP4,AP4_07_0.5_03,28B,B,28,0.5,7:24:00,8:00:00,0:00:00,0:36:00,36,16:00:00,16,36.36,3-Mar-18,7,,,,,4.14,0.617000341,-4.511677714,,,0.144985572,7.074515,22-May-18,234.840178,22-May-18,0.008333333
A.poly,AP4,AP4_07_0.5_05,28B,B,28,0.5,7:26:00,8:00:00,0:00:00,0:34:00,34,16:00:00,16,36.39,3-Mar-18,7,,,,,3.6,0.556302501,-5.051677714,,,1.287442356,0.906576,18-May-18,30.173361,18-May-18,0.008333333
A.poly,AP4,AP4_07_0.5_07,28A,A,28,0.5,7:06:00,8:00:00,23:30:00,0:54:00,54,15:30:00,15.5,36.21,3-Mar-18,7,,,,,3.76,0.575187845,-4.891677714,,,,,,,,0.008333333
A.poly,AP4,AP4_07_0.5_09,28A,A,28,0.5,7:04:00,8:00:00,0:00:00,0:56:00,56,16:00:00,16,36.17,3-Mar-18,7,,,,,3.46,0.539076099,-5.191677714,,,0.300822466,3.650484,10-May-18,116.249856,10-May-18,0.008333333
A.poly,AP4,AP4_07_0.5_10,28B,B,28,0.5,7:29:00,8:00:00,0:00:00,0:31:00,31,16:00:00,16,36.4,3-Mar-18,7,,,,,4.06,0.608526034,-4.591677714,,,1.319414243,0.776072,22-May-18,30.454548,22-May-18,0.008333333
A.poly,AP4,AP4_14_0.5_01,28A,A,28,0.5,7:09:00,7:45:00,22:45:00,0:36:00,36,15:00:00,15,36.12,10-Mar-18,14,,,,,10.64,1.026941628,1.988322286,,,4.952679475,0.282118,15-May-18,10.161628,15-May-18,0.008333333
A.poly,AP4,AP4_14_0.5_05,28B,B,28,0.5,7:23:00,7:45:00,22:45:00,0:22:00,22,15:00:00,15,36.05,10-Mar-18,14,,,,,11.68,1.067442843,3.028322286,,,5.396126657,0.348312,15-May-18,18.529769,15-May-18,0.008333333
A.poly,AP4,AP4_14_0.5_06,28A,A,28,0.5,7:10:00,7:45:00,23:00:00,0:35:00,35,15:15:00,15.25,36.11,10-Mar-18,14,,,,,11.51,1.061075324,2.858322286,,,5.020987247,0.320455,15-May-18,21.38196,15-May-18,0.008333333
A.poly,AP4,AP4_14_0.5_10,28B,B,28,0.5,7:24:00,7:45:00,22:30:00,0:21:00,21,14:45:00,14.75,35.95,10-Mar-18,14,,,,,10.4,1.017033339,1.748322286,,,5.258319603,0.202802,22-May-18,11.025091,22-May-18,0.008333333
A.poly,AP4,AP4_14_0.5_11,28A,A,28,0.5,7:08:00,7:45:00,23:15:00,0:37:00,37,15:30:00,15.5,36.06,10-Mar-18,14,,,,,12.57,1.099335278,3.918322286,,,6.129450454,0.174767,15-May-18,13.561966,15-May-18,0.008333333
A.poly,AP4,AP4_14_0.5_12,28B,B,28,0.5,7:25:00,7:45:00,22:45:00,0:20:00,20,15:00:00,15,36.03,10-Mar-18,14,,,,,12.68,1.103119254,4.028322286,,,5.134751748,0.193862,15-May-18,15.664729,15-May-18,0.008333333
A.poly,AP4,AP4_21_0.5_02,28A,A,28,0.5,6:59:00,7:45:00,22:15:00,0:46:00,46,14:30:00,14.5,35.82,17-Mar-18,21,,,,,28.23,1.450710878,19.57832229,,,9.65131568,0.217663,10-May-18,14.814478,10-May-18,0.008333333
A.poly,AP4,AP4_21_0.5_03,28B,B,28,0.5,7:19:00,7:45:00,22:15:00,0:26:00,26,14:30:00,14.5,35.75,17-Mar-18,21,,,,,31.61,1.499824496,22.95832229,,,13.51012326,0.132631,15-May-18,10.987335,15-May-18,0.008333333
A.poly,AP4,AP4_21_0.5_04,28B,B,28,0.5,7:22:00,7:45:00,22:45:00,0:23:00,23,15:00:00,15,36.03,17-Mar-18,21,,,,,35.69,1.552546548,27.03832229,,,12.92509105,0.16451,10-May-18,13.236112,10-May-18,0.008333333
A.poly,AP4,AP4_21_0.5_07,28A,A,28,0.5,7:00:00,7:45:00,22:15:00,0:45:00,45,14:30:00,14.5,35.82,17-Mar-18,21,,,,,27.48,1.439016728,18.82832229,,,17.48700508,8.64E-02,15-May-18,8.787661,15-May-18,0.008333333
A.poly,AP4,AP4_21_0.5_09,28A,A,28,0.5,7:01:00,7:45:00,23:00:00,0:44:00,44,15:15:00,15.25,36.06,17-Mar-18,21,,,,,32.51,1.512016969,23.85832229,,,9.826671077,0.222534,15-May-18,13.884537,15-May-18,0.008333333
A.poly,AP4,AP4_21_0.5_11,28B,B,28,0.5,7:22:00,7:45:00,23:00:00,0:23:00,23,15:15:00,15.25,36.11,17-Mar-18,21,,,,,35.45,1.54961624,26.79832229,,,12.54282366,0.170516,15-May-18,9.905132,15-May-18,0.008333333
A.poly,AP2,AP2_07_1.0_02,28A,A,28,1,6:54:00,7:30:00,15:30:00,0:36:00,36,8:00:00,8,36.5,28-Dec-17,7,8.971,8.988,9.04,9,4.63,0.665580991,-4.021677714,,0.006351166,3.059849626,0.279223,27-Mar-18,10.497007,27-Mar-18,0.016666667
A.poly,AP2,AP2_07_1.0_06,28B,B,28,1,7:12:00,7:30:00,15:30:00,0:18:00,18,8:00:00,8,36.02,28-Dec-17,7,9.149,9.158,9.116,9.14,4.44,0.64738297,-4.211677714,,0.005814929,4.085271014,0.186386,10-Apr-18,10.492693,10-Apr-18,0.016666667
A.poly,AP2,AP2_07_1.0_07,28A,A,28,1,6:54:00,7:30:00,15:30:00,0:36:00,36,8:00:00,8,35.9,28-Dec-17,7,8.744,8.699,8.73,8.72,4.21,0.624282096,-4.441677714,,0.006349399,2.473913238,0.333154,9-Apr-18,14.786254,9-Mar-18,0.016666667
A.poly,AP2,AP2_07_1.0_09,28B,B,28,1,7:11:00,7:30:00,16:00:00,0:19:00,19,8:30:00,8.5,36.61,28-Dec-17,7,9.089,9.049,9.068,9.07,4.68,0.670245853,-3.971677714,,0.006272259,3.940948837,0.231094,27-Mar-18,8.485397,27-Mar-18,0.016666667
A.poly,AP2,AP2_07_1.0_11,28B,B,28,1,7:12:00,7:30:00,15:30:00,0:18:00,18,8:00:00,8,36.51,28-Dec-17,7,8.97,8.916,8.894,8.93,4.69,0.671172843,-3.961677714,,0.006585951,2.66138532,0.241548,28-Mar-18,16.978104,28-Mar-18,0.016666667
A.poly,AP2,AP2_07_1.0_12,28A,A,28,1,6:52:00,7:30:00,15:45:00,0:38:00,38,8:15:00,8.25,36.55,28-Dec-17,7,8.894,8.975,8.864,8.91,4.43,0.646403726,-4.221677714,,0.00626283,2.537823397,0.344142,10-Apr-18,16.984684,9-Mar-18,0.016666667
A.poly,AP2,AP2_14_1.0_01,28B,B,28,1,7:13:00,7:30:00,15:45:00,0:17:00,17,8:15:00,8.25,36.76,4-Jan-18,14,10.94,10.905,10.859,10.9,8.3,0.919078092,-0.351677714,,0.006409123,5.993584815,0.12164,28-Mar-18,14.794635,28-Mar-18,0.016666667
A.poly,AP2,AP2_14_1.0_03,28B,B,28,1,7:14:00,7:30:00,15:45:00,0:16:00,16,8:15:00,8.25,36.72,4-Jan-18,14,11.875,11.86,11.845,11.86,10.33,1.014100322,1.678322286,,0.006192218,5.122933183,0.147313,28-Mar-18,17.253662,28-Mar-18,0.016666667
A.poly,AP2,AP2_14_1.0_04,28A,A,28,1,6:56:00,7:30:00,15:45:00,0:34:00,34,8:15:00,8.25,36.78,4-Jan-18,14,11.019,11.01,10.975,11,9,0.954242509,0.348322286,,0.006761833,3.837294867,0.232682,28-Mar-18,21.40402,28-Mar-18,0.016666667
A.poly,AP2,AP2_14_1.0_06,28B,B,28,1,7:15:00,7:30:00,15:45:00,0:15:00,15,8:15:00,8.25,36.7,4-Jan-18,14,10.87,10.82,10.769,10.82,7.37,0.867467488,-1.281677714,,0.005818161,5.367507301,0.190171,9-Apr-18,10.760902,9-Mar-18,0.016666667
A.poly,AP2,AP2_14_1.0_09,28A,A,28,1,6:56:00,7:30:00,16:15:00,0:34:00,34,8:45:00,8.75,36.93,4-Jan-18,14,11.966,11.998,12.026,12,10.62,1.026124517,1.968322286,,0.006145833,5.480344019,0.461251,11-Apr-18,18.166959,11-Apr-18,0.016666667
A.poly,AP2,AP2_14_1.0_10,28A,A,28,1,6:55:00,7:30:00,15:45:00,0:35:00,35,8:15:00,8.25,36.62,4-Jan-18,14,11.265,11.383,11.401,11.35,8.8,0.944482672,0.148322286,,0.006018595,3.541095558,0.296657,28-Mar-18,21.730849,28-Mar-18,0.016666667
