Species,BP,ID,Tank,Rep_tank,Treatment,Rate,Time_load,Time_start,Time_end,Acc_time,Acc_time_min,Trial_time,Trial_time_h,CTmax
A.poly,AP2,AP2_07_1.0_07,28A,A,28,1,6:54:00,7:30:00,15:30:00,0:36:00,36,8:00:00,8,35.9
A.poly,AP2,AP2_07_1.0_09,28B,B,28,1,7:11:00,7:30:00,16:00:00,0:19:00,19,8:30:00,8.5,36.61
A.poly,AP2,AP2_07_1.0_11,28B,B,28,1,7:12:00,7:30:00,15:30:00,0:18:00,18,8:00:00,8,36.51
A.poly,AP2,AP2_07_1.0_12,28A,A,28,1,6:52:00,7:30:00,15:45:00,0:38:00,38,8:15:00,8.25,36.55
A.poly,AP2,AP2_14_1.0_01,28B,B,28,1,7:13:00,7:30:00,15:45:00,0:17:00,17,8:15:00,8.25,36.76
A.poly,AP2,AP2_14_1.0_03,28B,B,28,1,7:14:00,7:30:00,15:45:00,0:16:00,16,8:15:00,8.25,36.72
A.poly,AP2,AP2_14_1.0_04,28A,A,28,1,6:56:00,7:30:00,15:45:00,0:34:00,34,8:15:00,8.25,36.78
A.poly,AP2,AP2_14_1.0_06,28B,B,28,1,7:15:00,7:30:00,15:45:00,0:15:00,15,8:15:00,8.25,36.7
A.poly,AP2,AP2_14_1.0_09,28A,A,28,1,6:56:00,7:30:00,16:15:00,0:34:00,34,8:45:00,8.75,36.93
A.poly,AP2,AP2_14_1.0_10,28A,A,28,1,6:55:00,7:30:00,15:45:00,0:35:00,35,8:15:00,8.25,36.62
A.poly,AP2,AP2_21_1.0_01,28A,A,28,1,6:41:00,7:15:00,15:15:00,0:34:00,34,8:00:00,8,36.42
A.poly,AP2,AP2_21_1.0_02,28B,B,28,1,6:53:00,7:15:00,15:15:00,0:22:00,22,8:00:00,8,36.42
A.poly,AP2,AP2_21_1.0_04,28B,B,28,1,6:55:00,7:15:00,15:15:00,0:20:00,20,8:00:00,8,36.28
A.poly,AP2,AP2_21_1.0_06,28A,A,28,1,6:40:00,7:15:00,15:00:00,0:35:00,35,7:45:00,7.75,36.2
A.poly,AP2,AP2_21_1.0_09,28B,B,28,1,6:54:00,7:15:00,15:15:00,0:21:00,21,8:00:00,8,36.39
A.poly,AP2,AP2_21_1.0_10,28A,A,28,1,6:42:00,7:15:00,15:15:00,0:33:00,33,8:00:00,8,36.34
A.poly,AP3,AP3_07_1.0_01,28A,A,28,1,7:25:00,8:00:00,16:15:00,0:35:00,35,8:15:00,8.25,36.37
A.poly,AP3,AP3_07_1.0_03,28A,A,28,1,7:24:00,8:00:00,16:30:00,0:36:00,36,8:30:00,8.5,36.8
A.poly,AP3,AP3_07_1.0_08,28B,B,28,1,7:48:00,8:00:00,16:30:00,0:12:00,12,8:30:00,8.5,36.56
A.poly,AP3,AP3_07_1.0_09,28B,B,28,1,7:32:00,8:00:00,16:30:00,0:28:00,28,8:30:00,8.5,36.57
A.poly,AP3,AP3_07_1.0_10,28A,A,28,1,7:23:00,8:00:00,16:30:00,0:37:00,37,8:30:00,8.5,36.51
A.poly,AP3,AP3_07_1.0_12,28B,B,28,1,7:49:00,8:00:00,16:15:00,0:11:00,11,8:15:00,8.25,36.35
A.poly,AP3,AP3_14_1.0_01,28B,B,28,1,7:13:00,7:30:00,15:30:00,0:17:00,17,8:00:00,8,36.42
A.poly,AP3,AP3_14_1.0_04,28B,B,28,1,7:16:00,7:30:00,15:15:00,0:14:00,14,7:45:00,7.75,36.1
A.poly,AP3,AP3_14_1.0_05,28B,B,28,1,7:12:00,7:30:00,15:15:00,0:18:00,18,7:45:00,7.75,36.03
A.poly,AP3,AP3_14_1.0_07,28A,A,28,1,6:49:00,7:30:00,15:30:00,0:41:00,41,8:00:00,8,36.33
A.poly,AP3,AP3_14_1.0_10,28A,A,28,1,6:52:00,7:30:00,15:30:00,0:38:00,38,8:00:00,8,36.26
A.poly,AP3,AP3_14_1.0_12,28A,A,28,1,6:54:00,7:30:00,15:15:00,0:36:00,36,7:45:00,7.75,35.86
A.poly,AP3,AP3_21_1.0_02,28A,A,28,1,6:49:00,7:15:00,15:00:00,0:26:00,26,7:45:00,7.75,36.15
A.poly,AP3,AP3_21_1.0_04,28A,A,28,1,6:51:00,7:15:00,15:15:00,0:24:00,24,8:00:00,8,36.23
A.poly,AP3,AP3_21_1.0_05,28B,B,28,1,7:02:00,7:15:00,15:00:00,0:13:00,13,7:45:00,7.75,36.26
A.poly,AP3,AP3_21_1.0_06,28B,B,28,1,7:03:00,7:15:00,15:15:00,0:12:00,12,8:00:00,8,36.21
A.poly,AP3,AP3_21_1.0_07,28A,A,28,1,6:50:00,7:15:00,15:00:00,0:25:00,25,7:45:00,7.75,36.22
A.poly,AP3,AP3_21_1.0_11,28B,B,28,1,7:02:00,7:15:00,15:15:00,0:13:00,13,8:00:00,8,36.27
A.poly,AP4,AP4_07_1.0_01,28A,A,28,1,7:11:00,8:00:00,16:15:00,0:49:00,49,8:15:00,8.25,36.58
A.poly,AP4,AP4_07_1.0_02,28B,B,28,1,7:33:00,8:00:00,16:00:00,0:27:00,27,8:00:00,8,36.33
A.poly,AP4,AP4_07_1.0_03,28A,A,28,1,7:07:00,8:00:00,16:00:00,0:53:00,53,8:00:00,8,36.36
A.poly,AP4,AP4_07_1.0_06,28A,A,28,1,7:08:00,8:00:00,16:15:00,0:52:00,52,8:15:00,8.25,36.59
A.poly,AP4,AP4_07_1.0_09,28B,B,28,1,7:33:00,8:00:00,16:15:00,0:27:00,27,8:15:00,8.25,36.57
A.poly,AP4,AP4_07_1.0_12,28B,B,28,1,7:37:00,8:00:00,16:15:00,0:23:00,23,8:15:00,8.25,36.52
A.poly,AP4,AP4_14_1.0_03,28A,A,28,1,7:11:00,7:45:00,15:30:00,0:34:00,34,7:45:00,7.75,36.23
A.poly,AP4,AP4_14_1.0_04,28A,A,28,1,7:12:00,7:45:00,15:45:00,0:33:00,33,8:00:00,8,36.29
A.poly,AP4,AP4_14_1.0_07,28B,B,28,1,7:26:00,7:45:00,15:30:00,0:19:00,19,7:45:00,7.75,35.81
A.poly,AP4,AP4_14_1.0_08,28B,B,28,1,7:27:00,7:45:00,15:30:00,0:18:00,18,7:45:00,7.75,35.83
A.poly,AP4,AP4_14_1.0_10,28A,A,28,1,7:13:00,7:45:00,15:45:00,0:32:00,32,8:00:00,8,36.31
A.poly,AP4,AP4_14_1.0_11,28B,B,28,1,7:28:00,7:45:00,15:45:00,0:17:00,17,8:00:00,8,36.3
A.poly,AP4,AP4_21_1.0_05,28B,B,28,1,7:24:00,7:45:00,15:15:00,0:21:00,21,7:30:00,7.5,36.01
A.poly,AP4,AP4_21_1.0_06,28A,A,28,1,7:05:00,7:45:00,15:30:00,0:40:00,40,7:45:00,7.75,36.3
A.poly,AP4,AP4_21_1.0_08,28B,B,28,1,7:25:00,7:45:00,15:30:00,0:20:00,20,7:45:00,7.75,36.21
A.poly,AP4,AP4_21_1.0_09,28B,B,28,1,7:25:00,7:45:00,15:30:00,0:20:00,20,7:45:00,7.75,36.05
A.poly,AP4,AP4_21_1.0_11,28A,A,28,1,7:06:00,7:45:00,15:30:00,0:39:00,39,7:45:00,7.75,36.1
A.poly,AP4,AP4_21_1.0_12,28A,A,28,1,7:05:00,7:45:00,15:30:00,0:40:00,40,7:45:00,7.75,36.18
A.poly,AP2,AP2_07_5.0_02,28B,B,28,5,7:14:00,7:30:00,9:30:00,0:16:00,16,2:00:00,2,37.74
A.poly,AP2,AP2_07_5.0_04,28A,A,28,5,6:57:00,7:30:00,9:30:00,0:33:00,33,2:00:00,2,37.83
A.poly,AP2,AP2_07_5.0_06,28B,B,28,5,7:15:00,7:30:00,9:30:00,0:15:00,15,2:00:00,2,37.7
A.poly,AP2,AP2_07_5.0_07,28B,B,28,5,7:16:00,7:30:00,9:15:00,0:14:00,14,1:45:00,1.75,37.17
A.poly,AP2,AP2_07_5.0_08,28A,A,28,5,6:56:00,7:30:00,9:30:00,0:34:00,34,2:00:00,2,37.93
A.poly,AP2,AP2_07_5.0_10,28A,A,28,5,6:57:00,7:30:00,9:30:00,0:33:00,33,2:00:00,2,37.94
A.poly,AP2,AP2_14_5.0_01,28B,B,28,5,7:16:00,7:30:00,9:30:00,0:14:00,14,2:00:00,2,38.03
A.poly,AP2,AP2_14_5.0_04,28A,A,28,5,7:00:00,7:30:00,9:30:00,0:30:00,30,2:00:00,2,37.76
A.poly,AP2,AP2_14_5.0_06,28A,A,28,5,6:59:00,7:30:00,9:30:00,0:31:00,31,2:00:00,2,37.95
A.poly,AP2,AP2_14_5.0_07,28B,B,28,5,7:16:00,7:30:00,9:30:00,0:14:00,14,2:00:00,2,37.78
A.poly,AP2,AP2_14_5.0_09,28B,B,28,5,7:17:00,7:30:00,9:30:00,0:13:00,13,2:00:00,2,38.18
A.poly,AP2,AP2_14_5.0_10,28A,A,28,5,6:59:00,7:30:00,9:30:00,0:31:00,31,2:00:00,2,38.19
