"group","ramprate","dCTmax"
"leading_31.5",0.1666667,37.019
"leading_30",0.1666667,37.02
"leading_30",0.1666667,37.058
"leading_30",0.1666667,37.062
"leading_31.5",0.1666667,37.062
"leading_31.5",0.1666667,37.072
"leading_30",0.1666667,37.083
"leading_31.5",0.1666667,37.083
"leading_31.5",0.1666667,37.097
"leading_30",0.1666667,37.1
"leading_31.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_30",0.1666667,37.1
"leading_30",0.1666667,37.1
"leading_30",0.1666667,37.1
"leading_30",0.1666667,37.1
"leading_31.5",0.1666667,37.13
"leading_30",0.1666667,37.13
"leading_30",0.1666667,37.13
"leading_30",0.1666667,37.14
"leading_31.5",0.1666667,37.149
"leading_30",0.1666667,37.199
"leading_31.5",0.1666667,37.199
"leading_30",0.1666667,37.2
"leading_28.5",0.1666667,37.2
"leading_30",0.1666667,37.22
"leading_28.5",0.1666667,37.226
"leading_28.5",0.1666667,37.226
"leading_30",0.1666667,37.226
"leading_30",0.1666667,37.226
"leading_30",0.1666667,37.226
"leading_31.5",0.1666667,37.226
"leading_31.5",0.1666667,37.23
"leading_31.5",0.1666667,37.281
"leading_30",0.1666667,37.3
"leading_30",0.1666667,37.3
"leading_31.5",0.1666667,37.3
"leading_31.5",0.1666667,37.3
"leading_31.5",0.1666667,37.3
"leading_30",0.1666667,37.3
"leading_31.5",0.1666667,37.3
"leading_31.5",0.1666667,37.3
"leading_31.5",0.1666667,37.3
"leading_31.5",0.1666667,37.3
"leading_31.5",0.1666667,37.318
"leading_30",0.1666667,37.32
"leading_31.5",0.1666667,37.34
"leading_31.5",0.1666667,37.4
"leading_28.5",0.1666667,37.4
"leading_28.5",0.1666667,37.4
"leading_30",0.1666667,37.4
"leading_30",0.1666667,37.4
"leading_30",0.1666667,37.4
"leading_30",0.1666667,37.4
"leading_31.5",0.1666667,37.4
"leading_31.5",0.1666667,37.4
"leading_31.5",0.1666667,37.4
"leading_31.5",0.1666667,37.4
"leading_31.5",0.1666667,37.4
"leading_31.5",0.1666667,37.4
"core_30",0.1666667,36.57
"core_28.5",0.1666667,36.67
"core_28.5",0.1666667,36.686
"core_28.5",0.1666667,36.747
"core_28.5",0.1666667,36.747
"core_30",0.1666667,36.76
"core_28.5",0.1666667,36.774
"core_30",0.1666667,36.774
"core_28.5",0.1666667,36.794
"core_28.5",0.1666667,36.794
"core_28.5",0.1666667,36.798
"core_28.5",0.1666667,36.798
"core_28.5",0.1666667,36.816
"core_28.5",0.1666667,36.821
"core_31.5",0.1666667,36.83
"core_28.5",0.1666667,36.835
"core_28.5",0.1666667,36.85
"core_31.5",0.1666667,36.863
"core_28.5",0.1666667,36.876
"core_28.5",0.1666667,36.876
"core_28.5",0.1666667,36.884
"core_30",0.1666667,36.889
"core_30",0.1666667,36.89
"core_30",0.1666667,36.891
"core_30",0.1666667,36.891
"core_28.5",0.1666667,36.898
"core_31.5",0.1666667,36.898
"core_31.5",0.1666667,36.898
"core_28.5",0.1666667,36.903
"core_30",0.1666667,36.903
"core_28.5",0.1666667,36.905
"core_28.5",0.1666667,36.909
"core_30",0.1666667,36.909
"core_30",0.1666667,36.91
"core_28.5",0.1666667,36.912
"core_30",0.1666667,36.912
